
devicename,deviceshortname,groupidentifier,sensor1name,sensor2name,serialnumber,devicetype,secondsTime,secondstimestring,dataSamplingSec, temperature,rtcBatVolt,opMode, rssi, snr,flowRate,totalMilliLitres,flowRate2,totalMilliLitres2,tank1PressurePsi,tank2PressurePsi,latitude,longitude,altitude,solarVoltage,capacitorVoltage,outdoortemperature,outdoorhumidity,lux, sleeptime,minimumEfficiencyForLed,minimumEfficiencyForWifi
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 24, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.29,-99.00,0.00,-99.00, -507,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 24, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.39,20.99,45.44,-6.90, -450,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1739946689,2025-02-19 17:31:29,10, 23, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.26,20.99,45.44,64512.12, 2020,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1739948692,2025-02-19 18:04:52,10, 23, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.82,0.00,0.00,-6.90, 600,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.23,20.37,45.70,-6.90, -516,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1739949297,2025-02-19 18:14:57,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.06,20.43,45.73,15824.00, 9180,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.47,0.00,0.00,-6.90, -429,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.33,0.00,0.00,-6.90, -472,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.27,0.00,0.00,-6.90, -511,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.21,0.00,0.00,-6.90, -536,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.15,0.00,0.00,-6.90, -558,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 4.11,21.08,45.67,-6.90, -600,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.99,20.63,44.81,-6.90, -672,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1739950517,2025-02-19 18:35:17,10, 21, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.79,0.00,0.00,18952.00, 600,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 21, 2.70, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.78,20.67,44.96,-6.90, -885,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 21, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.71,20.65,45.02,-6.90, -996,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 21, 2.70, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.73,20.63,45.07,-6.90, -1014,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 21, 2.70, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.68,20.58,45.09,-6.90, -1033,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 21, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.69,20.58,45.14,-6.90, -1052,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.70, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.61,20.56,45.19,-6.90, -1213,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.61,20.56,45.26,-6.90, -1240,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.55,20.58,45.34,-6.90, -1360,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.54,20.62,45.41,-6.90, -1395,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.52,20.63,45.46,-6.90, -1468,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.52,20.65,45.51,-6.90, -1468,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.55,20.70,45.56,-6.90, -1360,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.53,20.74,45.60,-6.90, -1395,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.52,20.74,45.62,-6.90, -1468,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.51,20.76,45.65,-6.90, -1508,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.48,20.78,45.67,-6.90, -1594,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.49,20.82,45.69,-6.90, -1594,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.48,20.85,45.70,-6.90, -1641,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.45,20.85,45.71,-6.90, -1800,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.46,20.87,45.70,-6.90, -1690,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 22, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.45,20.90,45.70,-6.90, -1690,40, 50
