Timestamp,Battery Voltage (V),Battery Current (mA)
2026-06-24 10:21:26,3.28,77.2
2026-06-24 10:22:54,3.29,29.2
2026-06-24 10:23:12,3.27,28.8
2026-06-24 10:24:54,3.3,28.8
2026-06-24 10:26:05,3.3,28.4
2026-06-24 10:26:23,3.3,29.2
2026-06-24 10:27:50,3.29,77.4
2026-06-24 10:29:34,3.29,27.4
2026-06-24 10:29:52,3.29,28.8
2026-06-24 10:31:19,3.28,76.4
2026-06-24 10:33:04,3.29,29.2
2026-06-24 10:33:21,3.29,29.6
2026-06-24 10:35:06,3.28,29.4
2026-06-24 10:36:50,3.28,30
2026-06-24 10:38:01,3.28,29
2026-06-24 10:39:45,3.29,23.2
2026-06-24 10:40:03,3.28,23.8
2026-06-24 10:44:49,3.28,1.8
2026-06-24 10:45:08,3.28,29.2
2026-06-24 10:45:27,3.28,29
2026-06-24 10:48:23,3.29,29
2026-06-24 10:48:39,3.28,75.8
2026-06-24 10:50:06,3.27,75.4
2026-06-24 10:50:23,3.28,75.4
2026-06-24 10:52:12,3.28,24
2026-06-24 10:53:25,3.28,23
2026-06-24 10:53:42,3.28,23
2026-06-24 10:55:13,3.28,28.4
2026-06-24 10:56:59,3.28,23.4
2026-06-24 10:57:18,3.29,23.6
2026-06-24 10:58:48,3.27,-1
2026-06-24 11:00:19,3.28,55.6
2026-06-24 11:02:24,3.3,62
2026-06-24 11:06:56,3.29,-34.4
2026-06-24 11:09:00,3.29,10.2
2026-06-24 11:10:29,3.3,-93
2026-06-24 11:10:46,3.29,80
2026-06-24 11:11:59,3.28,67.8
2026-06-24 11:12:17,3.28,64.4
2026-06-24 11:13:46,3.3,-70
2026-06-24 11:15:31,3.31,81.4
2026-06-24 11:17:35,3.28,57.6
2026-06-24 11:18:47,3.28,53.6
2026-06-24 11:19:04,3.28,33.2
2026-06-24 11:19:21,3.3,-0.6
2026-06-24 11:21:07,3.27,46.6
2026-06-24 11:22:34,3.3,-0.6
2026-06-24 11:22:51,3.3,-117.8
2026-06-24 11:25:49,3.31,-189
